CB040,.00032716
CB045,.00039763
CB050,.00047855
CB055,.00056769
CB060,.00070108
CB065,.00080655
CB070,.00093374
CB075,.00100553
CB080,.00120719
CB085,.00138675
CB090,.00148896
CB095,.00173288
CB100,.00189041
CB105,.00204302
CB110,.00226455
CB132,.00314193
NW017,.00005524
NW018,.00006215
NW019,.00006947
NW020,.00007495
NW021,.00008293
NW022,.00009184
NW024,.00010857
NW026,.00012671
NW028,.00014666
NW030,.00017236
NW032,.00019347
NW034,.00021590
NW036,.00023964
NW038,.00026471
NW039,.00027932
NW042,.00032279
NW044,.00035182
NW046,.00038216
NW048,.00041382
NW049,.00043014
NW052,.00048109
NW054,.00053838
NW056,.00057598
NW059,.00064191
NW060,.00066542
NW062,.00070697
NW064,.00074984
NW066,.00079889
NW068,.00084614
NW070,.00089304
NW072,.00094124
NW074,.00098869
NW080,.00115011
PL007,.00001085
PL008,.00001418
PL009,.00001794
PL010,.00002215
PL011,.00002680
PL012,.00003190
PL013,.00003744
PL014,.00004342
PL015,.00004984
PL016,.00005671
PL017,.00006402
PL018,.00007177
PL019,.00007997
PL020,.00008861
PL022,.00010722
PL024,.00012760
PL026,.00014975
PL0085,.00001601
PL0095,.00001999
PL0105,.00002442
PL0115,.00002930
PL0135,.00004037
XLB018P,.00007265
XLB020P,.00009093
XLB028W,.00015433
XLB032,.00019000
XLB035,.00022362
XLB040,.00029322
XLB042,.00032252
XLB045,.00037240
XLB050,.00046463
XLB052,.00051322
XLB055,.00054816
XLB060,.00066540
XLB065,.00079569
XLB070,.00093218
XLB075,.00104973
XLB080,.00116023
XLB085,.00133702
XLB090,.00150277
XLB095,.00169349
XLB100,.00179687
XLB105,.00198395
XLB110,.00227440
XLB120,.00250280
XLB125,.00274810
XLB130,.00301941
XLB135,.00315944
XLB145,.00363204
XLB160,.00420326
XLB170,.00481852
NWB024,.00009959
NWB034,.00019915
NWB044,.00033751
NWB056,.00053791
NWB072,.00092253
NWB084,.00126465
